<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,1,20200302,100000,207.9900000,208.7600000,207.0000000,207.7200000
GAZP,1,20200302,100100,207.7200000,208.1900000,207.0000000,207.3200000
GAZP,1,20200302,100200,207.3500000,207.5800000,206.7000000,206.9100000
GAZP,1,20200302,100300,207.0000000,207.0000000,206.1500000,206.7900000
GAZP,1,20200302,100400,206.7000000,207.3000000,206.6100000,207.2200000
GAZP,1,20200302,100500,207.2700000,207.4800000,206.9100000,207.0100000
GAZP,1,20200302,100600,206.9200000,207.1500000,206.8800000,207.1000000
GAZP,1,20200302,100700,207.1000000,207.7000000,206.9200000,207.6600000
GAZP,1,20200302,100800,207.6300000,207.7000000,207.2100000,207.6000000
GAZP,1,20200302,100900,207.6900000,207.8400000,207.4000000,207.8400000
GAZP,1,20200302,101000,207.8400000,208.0100000,207.7000000,207.7000000
GAZP,1,20200302,101100,207.8300000,208.9000000,207.7500000,208.7300000
GAZP,1,20200302,101200,208.8800000,208.9000000,208.3500000,208.8500000
GAZP,1,20200302,101300,208.8500000,208.9100000,208.0200000,208.5000000
GAZP,1,20200302,101400,208.4000000,208.5000000,208.3000000,208.4500000
GAZP,1,20200302,101500,208.4800000,208.6800000,207.7000000,207.8500000
GAZP,1,20200302,101600,207.8700000,207.9900000,207.6500000,207.8200000
GAZP,1,20200302,101700,207.8800000,208.1300000,207.8100000,207.8800000
GAZP,1,20200302,101800,207.8800000,207.9400000,207.7100000,207.8700000
GAZP,1,20200302,101900,207.8900000,207.9000000,207.6000000,207.7400000
GAZP,1,20200302,102000,207.8000000,207.8500000,207.7300000,207.7400000
GAZP,1,20200302,102100,207.7500000,207.9000000,207.7300000,207.7300000
GAZP,1,20200302,102200,207.7500000,207.7500000,206.8300000,206.8600000
GAZP,1,20200302,102300,206.8500000,207.3500000,206.8000000,207.0000000
GAZP,1,20200302,102400,207.0000000,207.1700000,206.8300000,206.9800000
GAZP,1,20200302,102500,206.9800000,207.0000000,206.6000000,206.6000000
GAZP,1,20200302,102600,206.6400000,206.8500000,206.5500000,206.5800000
GAZP,1,20200302,102700,206.5800000,206.5800000,206.1700000,206.4900000
GAZP,1,20200302,102800,206.4600000,206.5000000,206.2100000,206.4400000
GAZP,1,20200302,102900,206.3800000,206.4500000,206.1600000,206.3400000
GAZP,1,20200302,103000,206.3300000,207.0000000,206.3000000,206.6900000
GAZP,1,20200302,103100,206.6900000,206.7400000,206.3400000,206.6000000
GAZP,1,20200302,103200,206.5800000,206.6000000,206.4800000,206.5300000
GAZP,1,20200302,103300,206.5500000,207.2000000,206.5300000,207.1100000
GAZP,1,20200302,103400,207.1600000,207.4900000,207.0200000,207.4700000
GAZP,1,20200302,103500,207.4700000,207.6500000,207.3700000,207.6400000
GAZP,1,20200302,103600,207.6400000,207.7000000,207.5000000,207.6500000
GAZP,1,20200302,103700,207.6700000,207.8400000,207.5200000,207.7500000
